,real_date,DOW,VIX,BTC,ETH,kospi,vkospi,gold,dol,DOW1,VIX1,BTC1,ETH1,kospi1,vkospi1,gold1,dol1,corona
101,2020-05-22,24465.16016,28.16,9182.577148,207.169189,"1,970.13",27.74,"69,190","1,292.14",-0.00036612636018438274,-0.04750419832985628,0.011039704600250078,0.03580057045291156,,,,,1
102,2020-05-21,24474.11914,29.530001,9081.761719,199.883606,,,,,-0.004150106240935649,0.05355942609233578,-0.047439781059709495,-0.04983286893176879,,,,,1
103,2020-05-20,24575.90039,27.99,9522.981445,210.096741,,,,,0.015130265361659059,-0.08686253597409138,-0.02140705390428112,-0.015839722086925502,,,,,1
104,2020-05-19,24206.85938,30.530001,9729.038086,213.451111,"1,980.61",25.0,"68,650","1,277.31",-0.016003453236668408,0.04112235760812521,0.00025318050658040733,-0.005018719917067636,0.022207706406208855,-0.07844142630656259,-0.01718577931736676,-0.005947938104936627,1
105,2020-05-18,24597.36914,29.299999,9726.575195,214.525055,"1,937.11",27.04,"69,840","1,284.93",,,0.005757095020006939,0.034941415325210605,,,,,1
106,2020-05-17,,,9670.739258,207.158691,,,,,,,0.030843414675042896,0.03178785450862734,,,,,1
107,2020-05-16,,,9377.013672,200.677124,,,,,,,0.005219563360245055,0.02550964311874355,,,,,1
108,2020-05-15,23685.41992,31.889999,9328.197266,195.622665,"1,927.28",26.96,"68,650","1,283.99",0.002539807544876954,-0.022326570802493905,-0.042554541328535034,-0.03676756878229628,0.0012044941543044908,0.00632560248758893,0.01275396603507482,0.0017616891823749718,1
109,2020-05-14,23625.33984,32.610001,9733.72168,202.949097,"1,924.96",26.79,"67,780","1,281.73",0.016102011534587235,-0.07869718232725165,0.04881430833492134,0.018679569200789954,-0.007999256185893122,0.03959405644677227,0.005918928200498497,0.002773536785042841,1
110,2020-05-13,23247.9707,35.279999,9269.987305,199.193283,"1,940.42",25.75,"67,380","1,278.18",-0.021986776752933198,0.06559722387479833,0.05152160677180441,0.050876535914995885,0.009449688320560989,-0.07624161664466722,0.0014852223137141387,-0.0005709615381793954,1
111,2020-05-12,23764.7793,33.040001,8804.477539,189.3125,"1,922.17",27.79,"67,280","1,278.91",-0.019056284489855604,0.18099075388341518,0.02328939652628738,0.01812111629536281,-0.006859267296295798,-0.0539346392349473,0.0011897681355887508,0.004003593691080945,1
112,2020-05-11,24221.99023,27.57,8601.795898,185.912842,"1,935.40",29.33,"67,200","1,273.80",,,-0.01781735665974105,-0.014348085933647826,,,,,1
113,2020-05-10,,,8756.430664,188.599564,,,,,,,-0.09133874989439697,-0.11507224647315412,,,,,1
